#
# No. Freq (Hz)		Measurement	Observed Passband	Measurement	Uncertainty	Units		Uncertainty	Units	Reference Code
#
   42    5.42E+14 	1.98E-02	V (Johnson) 		13.16 	+/- 0.01 	mag 	 	+/- 1.83E-04 	Jy 	1980ApJ...241...74M
   43    5.42E+14 	1.66E-02	V (Johnson) 		13.35 	+/- 0.01 	mag 	 	+/- 1.54E-04 	Jy 	1980ApJ...241...74M
   44    5.42E+14 	1.63E-02	V (Johnson) 		13.37 	+/- 0.01 	mag 	 	+/- 1.51E-04 	Jy 	1980ApJ...241...74M
   45    5.42E+14 	1.33E-02	V (Johnson) 		13.59 	+/- 0.01 	mag 	 	+/- 1.23E-04 	Jy 	1980ApJ...241...74M
   46    5.42E+14 	1.63E-02	V (Johnson) 		13.37 	+/- 0.01 	mag 	 	+/- 1.51E-04 	Jy 	1981AJ.....86.1585H
   47    5.42E+14 	1.38E-02	V (Johnson) 		0.014 	+/- 0.0004 	Jy 	 	+/- 4.00E-04 	Jy 	1981MNRAS.197..627B
   48    5.42E+14 	2.34E-02	V (Johnson) 		12.98 	+/- 0.03 	mag 	 	+/- 6.55E-04 	Jy 	1983PASP...95..724S
   49    5.42E+14 	2.30E-02	V (Johnson) 		13.00 	+/- 0.03 	mag 	 	+/- 6.43E-04 	Jy 	1983PASP...95..724S
   50    5.42E+14 	1.81E-02	V (Johnson) 		13.26 	+/- 0.07 	mag 	 	+/- 1.20E-03 	Jy 	1978ApJ...224...22O
   51    5.42E+14 	1.95E-02	V (Johnson) 		13.18 	+/- 0.05 	mag 	 	+/- 9.17E-04 	Jy 	1978ApJ...224...22O
   52    5.42E+14 	2.81E-02	V (V_T) 		12.78 	+/- 0.20 	mag 	 	+/- 5.76E-03 	Jy 	1991RC3.9.C...0000d
   53    5.42E+14 	3.06E-02	V (V_T^0) 		12.69 	... 		mag 	 	... 		Jy 	1991RC3.9.C...0000d
   54    5.42E+14 	2.52E-02	V 			12.9 	... 		mag 	 	... 		Jy 	2006ApJ...636..680A
   55    4.61E+14 	4.28E-03	r (Hale) 		14.60 	+/- 0.30 	mag 	 	+/- 1.18E-03 	Jy 	1985MNRAS.215...37L
   56    4.37E+14 	9.04E-03	R_C (HST/F702W) 	13.78 	+/- 0.08 	mag 	 	+/- 6.66E-04 	Jy 	2000ApJ...532..816U
   57    4.37E+14 	1.42E-02	R_C (HST/F702W) 	13.29 	+/- 0.02 	mag 	 	+/- 2.62E-04 	Jy 	2000ApJ...532..816U
   58    4.28E+14 	2.00E-02	R (Johnson) 		0.020 	+/- 0.001 	Jy 	 	+/- 1.00E-03 	Jy 	1980ApJ...237..331P
   59    4.28E+14 	2.20E-02	R (Johnson) 		0.022 	+/- 0.001 	Jy 	 	+/- 1.00E-03 	Jy 	1980ApJ...237..331P
   60    4.28E+14 	3.84E-02	R (Johnson) 		12.15 	+/- 0.02 	mag 	 	+/- 7.13E-04 	Jy 	1980ApJ...241...74M
   61    4.28E+14 	2.83E-02	R (Johnson) 		12.48 	+/- 0.01 	mag 	 	+/- 2.62E-04 	Jy 	1980ApJ...241...74M
   62    4.28E+14 	2.29E-02	R (Johnson) 		12.71 	+/- 0.01 	mag 	 	+/- 2.12E-04 	Jy 	1980ApJ...241...74M
   63    4.28E+14 	2.19E-02	R (Johnson) 		12.76 	+/- 0.01 	mag 	 	+/- 2.03E-04 	Jy 	1980ApJ...241...74M
   64    4.28E+14 	1.84E-02	R (Johnson) 		12.95 	+/- 0.01 	mag 	 	+/- 1.70E-04 	Jy 	1980ApJ...241...74M
   65    4.28E+14 	2.17E-02	R (Johnson) 		12.77 	+/- 0.01 	mag 	 	+/- 2.01E-04 	Jy 	1981AJ.....86.1585H
