#            x               y
#
 1.0399199e-07  3.6324530e-13
 1.1246001e-07  4.4524085e-13
 1.2161899e-07  5.4576289e-13
 1.3152200e-07  6.6895361e-13
 1.4223301e-07  8.1997573e-13
 1.5381500e-07  1.0050716e-12
 1.6634100e-07  1.2319640e-12
 1.7988701e-07  1.5100767e-12
 1.9453601e-07  1.8509726e-12
 2.1037799e-07  2.2688250e-12
 2.2751001e-07  2.7810001e-12
 2.4603699e-07  3.4087959e-12
 2.6607300e-07  4.1783229e-12
 2.8773997e-07  5.1215451e-12
 3.1117199e-07  6.2777064e-12
 3.3651203e-07  7.6948649e-12
 3.6391504e-07  9.4319176e-12
 3.9354998e-07  1.1561122e-11
 4.2559802e-07  1.4170951e-11
 4.6025700e-07  1.7370047e-11
 4.9773697e-07  2.1291193e-11
 5.3827003e-07  2.6097566e-11
 5.8210295e-07  3.1988951e-11
 6.2950604e-07  3.9210285e-11
 6.8076905e-07  4.8061686e-11
 7.3620693e-07  5.8911489e-11
 7.9615898e-07  7.2210441e-11
 8.6099395e-07  8.8511561e-11
 9.3110809e-07  1.0849262e-10
 1.0069300e-06  1.3298360e-10
 1.0889301e-06  1.6300461e-10
 1.1776100e-06  1.9980387e-10
 1.2734999e-06  2.4490480e-10
 1.3772101e-06  3.0019289e-10
 1.4893600e-06  3.6795881e-10
 1.6106501e-06  4.5102758e-10
 1.7418101e-06  5.5284324e-10
 1.8836500e-06  6.7764229e-10
 2.0370402e-06  8.3061315e-10
 2.2029300e-06  1.0181266e-09
 2.3823200e-06  1.2479589e-09
 2.5763200e-06  1.5296762e-09
 2.7861199e-06  1.8749923e-09
 3.0130102e-06  2.2982724e-09
 3.2583700e-06  2.8170918e-09
 3.5237103e-06  3.4530304e-09
 3.8106600e-06  4.2325344e-09
 4.1209799e-06  5.1880159e-09
 4.4565604e-06  6.3591548e-09
 4.8194802e-06  7.7947197e-09
 5.2119495e-06  9.5543380e-09
 5.6363805e-06  1.1711181e-08
 6.0953704e-06  1.4354901e-08
 6.5917405e-06  1.7595443e-08
 7.1285303e-06  2.1567510e-08
 7.7090294e-06  2.6436217e-08
 8.3368099e-06  3.2404080e-08
 9.0157093e-06  3.9719137e-08
 9.7499009e-06  4.8685586e-08
 1.0543901e-05  5.9676494e-08
 1.1402501e-05  7.3147620e-08
 1.2331000e-05  8.9659353e-08
 1.3335199e-05  1.0990028e-07
 1.4421200e-05  1.3471117e-07
 1.5595500e-05  1.6511944e-07
 1.6865499e-05  2.0239417e-07
 1.8238999e-05  2.4808625e-07
 1.9724200e-05  3.0408738e-07
 2.1330400e-05  3.7273262e-07
 2.3067498e-05  4.5687921e-07
 2.4945901e-05  5.6001273e-07
 2.6977401e-05  6.8643623e-07
 2.9174297e-05  8.4139747e-07
 3.1550003e-05  1.0313315e-06
 3.4119299e-05  1.2641549e-06
 3.6897802e-05  1.5953343e-06
 3.9902499e-05  1.9701541e-06
 4.3151898e-05  2.3343528e-06
 4.6665895e-05  3.2084650e-06
 5.0466095e-05  3.7726724e-06
 5.4575799e-05  4.8562418e-06
 5.9020094e-05  6.3248437e-06
 6.3826305e-05  8.3704537e-06
 6.9023996e-05  1.0661060e-05
 7.4644893e-05  1.3043685e-05
 8.0723503e-05  1.8162122e-05
 8.7297097e-05  2.1392734e-05
 9.4406109e-05  2.6317837e-05
 1.0209400e-04  3.2613740e-05
 1.1040799e-04  4.4197856e-05
 1.1939900e-04  5.3740623e-05
 1.2912199e-04  6.9056061e-05
 1.3963700e-04  9.2932581e-05
 1.5100802e-04  1.1789623e-04
 1.6330501e-04  1.5233465e-04
 1.7660399e-04  1.8648105e-04
 1.9098502e-04  2.5588652e-04
 2.0653802e-04  3.2433954e-04
 2.2335702e-04  4.0798886e-04
 2.4154597e-04  5.1617813e-04
 2.6121602e-04  6.8489595e-04
 2.8248800e-04  8.3023302e-04
 3.0549197e-04  1.0764640e-03
 3.3037000e-04  1.3255667e-03
 3.5727300e-04  1.6021405e-03
 3.8636698e-04  1.9535899e-03
 4.1782998e-04  2.2887550e-03
 4.5185605e-04  2.5971683e-03
 4.8865202e-04  3.0537438e-03
 5.2844501e-04  3.3825148e-03
 5.7147903e-04  3.8710956e-03
 6.1801597e-04  4.4411925e-03
 6.6834407e-04  4.9802380e-03
 7.2276997e-04  5.5142125e-03
 7.8162798e-04  6.0494627e-03
 8.4527904e-04  7.0550517e-03
 9.1411303e-04  8.0421987e-03
 9.8855309e-04  8.8206380e-03
 1.0690500e-03  9.6960892e-03
 1.1561101e-03  1.1172020e-02
 1.2502599e-03  1.2610154e-02
 1.3520701e-03  1.3818910e-02
 1.4621799e-03  1.5510514e-02
 1.5812499e-03  1.7183859e-02
 1.7100200e-03  1.8859110e-02
 1.8492699e-03  2.0458807e-02
 1.9998600e-03  2.3307699e-02
 2.1627200e-03  2.6151729e-02
 2.3388399e-03  2.8953475e-02
 2.5292997e-03  3.1380539e-02
 2.7352700e-03  3.4363730e-02
 2.9580097e-03  3.8045167e-02
 3.1989003e-03  4.2121216e-02
 3.4593898e-03  4.5404573e-02
 3.7411102e-03  4.9048474e-02
 4.0457598e-03  5.3594485e-02
 4.3752200e-03  5.8689431e-02
 4.7315104e-03  6.3985726e-02
 5.1168195e-03  6.9649307e-02
 5.5334998e-03  7.2637351e-02
 5.9841201e-03  7.8614092e-02
 6.4714306e-03  8.6193656e-02
 6.9984200e-03  9.3325430e-02
 7.5683307e-03  9.9569975e-02
 8.1846498e-03  1.0467229e-01
 8.8511602e-03  1.1384009e-01
