 1.0399199e-07  3.4930123e-06
 1.1246001e-07  3.9591038e-06
 1.2161899e-07  4.4874809e-06
 1.3152200e-07  5.0862488e-06
 1.4223301e-07  5.7650171e-06
 1.5381500e-07  6.5342886e-06
 1.6634100e-07  7.4062558e-06
 1.7988701e-07  8.3945845e-06
 1.9453601e-07  9.5148071e-06
 2.1037799e-07  1.0784517e-05
 2.2751001e-07  1.2223638e-05
 2.4603699e-07  1.3854811e-05
 2.6607300e-07  1.5703671e-05
 2.8773997e-07  1.7799213e-05
 3.1117199e-07  2.0174394e-05
 3.3651203e-07  2.2866537e-05
 3.6391504e-07  2.5917911e-05
 3.9354998e-07  2.9376503e-05
 4.2559802e-07  3.3296562e-05
 4.6025700e-07  3.7739887e-05
 4.9773697e-07  4.2775993e-05
 5.3827003e-07  4.8484152e-05
 5.8210295e-07  5.4954112e-05
 6.2950604e-07  6.2287385e-05
 6.8076905e-07  7.0599106e-05
 7.3620693e-07  8.0020286e-05
 7.9615898e-07  9.0698520e-05
 8.6099395e-07  1.0280161e-04
 9.3110809e-07  1.1651990e-04
 1.0069300e-06  1.3206837e-04
 1.0889301e-06  1.4969245e-04
 1.1776100e-06  1.6966897e-04
 1.2734999e-06  1.9230846e-04
 1.3772101e-06  2.1797175e-04
 1.4893600e-06  2.4705834e-04
 1.6106501e-06  2.8002828e-04
 1.7418101e-06  3.1739582e-04
 1.8836500e-06  3.5974958e-04
 2.0370402e-06  4.0775491e-04
 2.2029300e-06  4.6216929e-04
 2.3823200e-06  5.2384184e-04
 2.5763200e-06  5.9374464e-04
 2.7861199e-06  6.7297617e-04
 3.0130102e-06  7.6278281e-04
 3.2583700e-06  8.6457087e-04
 3.5237103e-06  9.7994163e-04
 3.8106600e-06  1.1107090e-03
 4.1209799e-06  1.2589277e-03
 4.4565604e-06  1.4269199e-03
 4.8194802e-06  1.6173362e-03
 5.2119495e-06  1.8331601e-03
 5.6363805e-06  2.0777840e-03
 6.0953704e-06  2.3550498e-03
 6.5917405e-06  2.6693167e-03
 7.1285303e-06  3.0255199e-03
 7.7090294e-06  3.4292536e-03
 8.3368099e-06  3.8868680e-03
 9.0157093e-06  4.4055477e-03
 9.7499009e-06  4.9934442e-03
 1.0543901e-05  5.6598117e-03
 1.1402501e-05  6.4150505e-03
 1.2331000e-05  7.2710529e-03
 1.3335199e-05  8.2413678e-03
 1.4421200e-05  9.3411901e-03
 1.5595500e-05  1.0587634e-02
 1.6865499e-05  1.2000485e-02
 1.8238999e-05  1.3601966e-02
 1.9724200e-05  1.5416969e-02
 2.1330400e-05  1.7474244e-02
 2.3067498e-05  1.9806188e-02
 2.4945901e-05  2.2449088e-02
 2.6977401e-05  2.5444861e-02
 2.9174297e-05  2.8840368e-02
 3.1550003e-05  3.2688792e-02
 3.4119299e-05  3.7051022e-02
 3.6897802e-05  4.3236567e-02
 3.9902499e-05  4.9374203e-02
 4.3151898e-05  5.4096179e-02
 4.6665895e-05  6.8753958e-02
 5.0466095e-05  7.4756575e-02
 5.4575799e-05  8.8981598e-02
 5.9020094e-05  1.0716424e-01
 6.3826305e-05  1.3114426e-01
 6.9023996e-05  1.5445440e-01
 7.4644893e-05  1.7474317e-01
 8.0723503e-05  2.2499175e-01
