# INPUT : tev01_wrbr_hfreb2_pca_5_8_32
# LabelHelper : tp
#   xtt         xtt1       xtt2       dtt        rt       ert          rx       erx      nx       rxmin        rxmax
# 
 -327284.06 -328124.06 -326444.06   1680.0     1.5559    0.2261      0.0100    0.0001     0     0.0100       0.0100
 -325588.90 -326428.90 -324748.90   1680.0     1.4784    0.2066      0.0100    0.0001     0     0.0100       0.0100
 -261084.04 -261982.81 -260185.26   1797.5     2.8623    0.3780      0.0100    0.0001     0     0.0100       0.0100
 -259285.02 -260184.96 -258385.08   1799.9     2.8871    0.3770      0.0100    0.0001     0     0.0100       0.0100
 -257485.91 -258384.82 -256587.01   1797.8     2.4852    0.3731      0.0100    0.0001     0     0.0100       0.0100
 -255691.56 -256598.50 -254784.62   1813.9     2.4852    0.3599      0.0100    0.0001     0     0.0100       0.0100
 -254329.98 -254773.86 -253886.10    887.8     3.9822    0.5792      0.0100    0.0001     0     0.0100       0.0100
 -244172.45 -245012.45 -243332.45   1680.0     2.1393    0.3859      0.0100    0.0001     0     0.0100       0.0100
 -240191.14 -241031.14 -239351.14   1680.0     1.9281    0.1971      0.0100    0.0001     0     0.0100       0.0100
 -238920.19 -239760.19 -238080.19   1680.0     1.3102    0.2989      0.0100    0.0001     0     0.0100       0.0100
 -176465.87 -177364.90 -175566.83   1798.1     0.7878    0.3789      0.0100    0.0001     0     0.0100       0.0100
 -174667.02 -175567.00 -173767.03   1800.0     1.0587    0.3325      0.0100    0.0001     0     0.0100       0.0100
 -172866.96 -173766.95 -171966.98   1800.0     1.6173    0.3308      0.0100    0.0001     0     0.0100       0.0100
 -171059.04 -171976.57 -170141.52   1835.0     1.8246    0.3239      0.0100    0.0001     0     0.0100       0.0100
 -169233.06 -170133.05 -168333.08   1800.0     1.2758    0.3218      0.0100    0.0001     0     0.0100       0.0100
 -167435.77 -168334.54 -166536.99   1797.5     0.9765    0.3436      0.0100    0.0001     0     0.0100       0.0100
 -164783.03 -165572.56 -163993.51   1579.0     0.8659    0.4048      0.0100    0.0001     0     0.0100       0.0100
 -158045.47 -158885.47 -157205.47   1680.0     1.1531    0.4145      0.0100    0.0001     0     0.0100       0.0100
 -157339.58 -158179.58 -156499.58   1680.0     1.2671    0.4117      0.0100    0.0001     0     0.0100       0.0100
 -147936.67 -148776.67 -147096.67   1680.0     0.4887    0.2698      0.0100    0.0001     0     0.0100       0.0100
 -140908.90 -141748.90 -140068.90   1680.0     1.0912    0.3652      0.0100    0.0001     0     0.0100       0.0100
  -90404.04  -90853.92  -89954.15    899.8     0.6853    0.5321      0.0100    0.0001     0     0.0100       0.0100
  -88155.65  -89055.20  -87256.09   1799.1     0.6688    0.3971      0.0100    0.0001     0     0.0100       0.0100
  -86807.12  -87257.13  -86357.10    900.0     0.6273    0.5714      0.0100    0.0001     0     0.0100       0.0100
  -84563.48  -85452.45  -83674.51   1777.9     0.1910    0.6110      0.0100    0.0001     0     0.0100       0.0100
  -82751.93  -83651.92  -81851.95   1800.0     0.7385    0.3438      0.0100    0.0001     0     0.0100       0.0100
  -81403.32  -81853.25  -80953.39    899.9     0.1625    0.8926      0.0100    0.0001     0     0.0100       0.0100
  -79155.88  -80055.69  -78256.06   1799.6     0.8317    0.3589      0.0100    0.0001     0     0.0100       0.0100
  -77356.08  -78255.98  -76456.18   1799.8     0.6223    0.4690      0.0100    0.0001     0     0.0100       0.0100
  -75106.92  -75556.85  -74656.99    899.9     0.5171    0.8357      0.0100    0.0001     0     0.0100       0.0100
  -71670.53  -72510.53  -70830.53   1680.0     0.3602    0.2013      0.0100    0.0001     0     0.0100       0.0100
  -69897.60  -70737.60  -69057.60   1680.0     0.4395    0.1570      0.0100    0.0001     0     0.0100       0.0100
  -57046.46  -57886.46  -56206.46   1680.0     0.6774    0.1730      0.0100    0.0001     0     0.0100       0.0100
   -3487.02   -4385.97   -2588.07   1797.9     1.1876    0.3545      9.7990    0.4406    34     9.0359      10.7309
   -1689.90   -2588.72    -791.08   1797.6     1.0328    0.3432      9.2434    0.4333    56     7.9447      10.1467
     109.12    -790.78    1009.02   1799.8     1.2369    0.3422      9.0915    0.4625    13     8.1243      10.0829
    1907.80     998.87    2816.73   1817.9     1.1301    0.3268      8.4832    0.4724    24     7.3876       9.6313
    3725.31    2825.62    4624.99   1799.4     0.8771    0.3518      8.7994    0.4616    57     7.7144      10.2295
    5524.76    4625.12    6424.40   1799.3     0.8085    0.3668      9.3587    0.4762    22     8.5319      10.3486
    7316.27    6428.81    8203.73   1774.9     0.8374    0.3855      9.7974    0.4030    13     9.0201      10.3199
    9152.09    8252.06   10052.12   1800.1     1.2278    0.3766     10.1817    0.3442    56     9.3775      10.9365
   10951.89   10051.91   11851.88   1800.0     0.7027    0.5128     10.1601    0.4573    32     9.0271      11.1717
   12751.52   11852.01   13651.03   1799.0     1.5720    0.5274      9.6685    0.1896     5     9.4418       9.9349
   14101.08   13651.15   14551.01    899.9     1.5852    1.5181      9.8127    0.4711    14     9.0119      10.7691
   15191.71   14351.71   16031.71   1680.0     0.5271    0.2305      9.3386    0.0987     3     9.2116       9.4523
   17013.02   16173.02   17853.02   1680.0     0.6883    0.1933      9.7418    0.3310    20     9.1955      10.3014
   18703.87   17863.87   19543.87   1680.0     0.6510    0.1758     12.6376    0.4351    10    11.9403      13.3184
   20398.18   19558.18   21238.18   1680.0     1.0324    0.1707     13.8430    0.6550    53    12.3717      15.3314
   22087.30   21247.30   22927.30   1680.0     1.3211    0.1693     14.7311    0.5379    21    14.0764      15.7941
   23775.55   22935.55   24615.55   1680.0     1.3369    0.1628      0.0100    0.0001     0     0.0100       0.0100
   25462.94   24622.94   26302.94   1680.0     1.7780    0.1723     18.3786    1.1466    42    15.9867      20.2674
   27279.07   26439.07   28119.07   1680.0     2.2867    0.1733     20.6145    0.9470    39    18.8767      23.1030
   29013.98   28173.98   29853.98   1680.0     3.9605    0.2011      0.0100    0.0001     0     0.0100       0.0100
   30836.16   29996.16   31676.16   1680.0     5.1423    0.2258     19.4335    1.0208    31    17.5827      21.4795
   32522.69   31682.69   33362.69   1680.0     4.5161    0.2411     17.1726    1.0480    53    14.9585      19.3819
   34232.54   33392.54   35072.54   1680.0     2.9691    0.2567     16.0937    0.3096     4    15.5996      16.3650
   35924.26   35084.26   36764.26   1680.0     2.0376    0.2824     13.1630    0.3806    11    12.5910      13.8041
   81432.00   80532.06   82331.94   1799.9     0.8833    0.3607      9.9871    0.5225     3     9.4544      10.6969
   83231.28   82332.11   84130.44   1798.3     1.3677    0.3405     10.4287    0.4607    56     9.3941      11.7399
   85030.04   84130.10   85929.98   1799.9     1.6104    0.3301     10.7386    0.5035    44     9.5850      11.8488
   86849.28   85898.36   87800.20   1901.8     1.1293    0.3557      0.0100    0.0001     0     0.0100       0.0100
   88731.50   87831.99   89631.01   1799.0     1.0842    0.3580      8.7380    0.4269    52     7.6349       9.5287
   90528.54   89629.37   91427.70   1798.3     0.7420    0.3479      8.1287    0.3999    51     7.2634       8.9081
   92316.24   91437.77   93194.71   1756.9     0.6741    0.4107      0.0100    0.0001     0     0.0100       0.0100
   94139.97   93241.15   95038.79   1797.6     0.9526    0.3736     10.8792    0.6198    42     9.3382      12.3076
   95936.75   95037.54   96835.96   1798.4     1.0252    0.4081     11.2339    0.5741    56     9.8489      12.6460
   96904.43   96836.00   96972.86    136.9     1.8350    1.3981     11.6205    0.4482     4    10.8872      12.0487
  100638.72   99798.72  101478.72   1680.0     2.8376    0.2416     16.9316    1.3127    52    14.4019      20.1225
  102324.38  101484.38  103164.38   1680.0     1.8713    0.2133     17.3049    0.6783    39    15.9297      18.7643
  104040.29  103200.29  104880.29   1680.0     1.7425    0.1923      0.0100    0.0001     0     0.0100       0.0100
  105727.68  104887.68  106567.68   1680.0     1.6896    0.1812     15.7655    0.5607    44    14.5061      16.9693
  107418.53  106578.53  108258.53   1680.0     2.0436    0.1789     15.8603    0.6397    35    14.7095      17.3939
  110990.30  110150.30  111830.30   1680.0     1.3061    0.1631      9.8724    0.1401     8     9.6603      10.1113
  112679.42  111839.42  113519.42   1680.0     0.9711    0.1578      9.2754    0.5452    52     8.0911      11.0013
  123856.13  123016.13  124696.13   1680.0     0.9300    0.3503     11.2698    0.4582    53    10.3828      12.4331
  168157.99  167258.00  169057.97   1800.0     3.0111    0.3524     28.3232    0.7809    28    27.2498      29.7073
  169956.49  169057.93  170855.05   1797.1     3.1240    0.3470     28.3628    0.7311    56    26.7420      29.7916
  171753.26  170853.71  172652.82   1799.1     3.4295    0.3544     27.9353    0.6482    19    26.8199      29.1023
  173569.13  172645.86  174492.40   1846.5     3.3974    0.3530     29.0080    0.8059    19    27.4485      30.7464
  175397.01  174497.03  176297.00   1800.0     3.1661    0.3446     30.6658    0.8513    56    28.8286      32.4341
  177195.00  176296.14  178093.86   1797.7     2.8956    0.3568     29.5476    1.0873    28    27.3765      31.9617
  178987.54  178096.97  179878.11   1781.1     3.4052    0.3513     31.2753    0.8281     8    30.0430      32.3870
  180825.09  179925.15  181725.03   1799.9     3.0527    0.3645     28.7552    1.2101    56    26.3493      32.0556
  182623.08  181723.22  183522.93   1799.7     3.2644    0.3951     28.5763    0.7332    37    27.0919      30.2404
  184422.53  183523.10  185321.95   1798.8     2.1790    0.4893      0.0100    0.0001     0     0.0100       0.0100
  186227.42  185314.61  187140.24   1825.6     2.0620    0.9065     29.3201    0.8427    31    27.4938      31.2780
  186743.23  185903.23  187583.23   1680.0     3.1666    0.2816      0.0100    0.0001     0     0.0100       0.0100
  188431.49  187591.49  189271.49   1680.0     3.7123    0.2515     28.1868    0.9381    14    25.9307      29.6475
  190128.38  189288.38  190968.38   1680.0     3.5487    0.2323      0.0100    0.0001     0     0.0100       0.0100
  191814.91  190974.91  192654.91   1680.0     3.3049    0.2167     27.1135    0.7181    49    25.8828      28.5421
  195365.09  194525.09  196205.09   1680.0     2.8134    0.1776      0.0100    0.0001     0     0.0100       0.0100
  197055.07  196215.07  197895.07   1680.0     3.5772    0.1892     24.5854    1.2160    33    22.7233      27.4643
  198742.46  197902.46  199582.46   1680.0     3.9857    0.1958     27.6602    0.8312    47    25.5457      29.9077
  200431.58  199591.58  201271.58   1680.0     3.3562    0.1955      0.0100    0.0001     0     0.0100       0.0100
  202119.84  201279.84  202959.84   1680.0     4.5199    0.2185     29.2371    0.6568    14    28.1108      30.5882
  203808.10  202968.10  204648.10   1680.0     4.3858    0.2307     28.6734    0.8965    52    26.7881      31.0964
  205497.22  204657.22  206337.22   1680.0     4.2047    0.2479     28.3469    0.7219    18    27.0011      29.7152
  214450.85  213610.85  215290.85   1680.0     3.7748    0.7319     35.6383    1.0228    41    33.6271      38.0068
